Feedback ID,Feedback Type,Product Area,Pain Point Category,Feature Requested,Severity Level,Sentiment Label,Priority Band
FB-0001,Feature Request,Reporting & Analytics,Slow page performance,Faster dashboard loading,4,Negative,Medium Priority
FB-0002,Feature Request,Reporting & Analytics,Export limitations,CSV export improvements,3,Neutral,Low Priority
FB-0003,Product Enhancement,Automation,Repetitive manual work,Workflow automation,5,Neutral,High Priority
FB-0004,Feature Request,Automation,Repetitive manual work,Workflow automation,5,Positive,High Priority
FB-0005,Feature Request,Integrations,Scheduling friction,Calendar integration,4,Negative,Medium Priority
FB-0006,Feature Request,Reporting & Analytics,Slow page performance,Faster dashboard loading,4,Neutral,Medium Priority
FB-0007,Product Enhancement,Billing,Pricing confusion,Transparent pricing,3,Positive,Low Priority
FB-0008,Feature Request,Security & Admin,Manual admin work,Bulk user management,5,Negative,Critical
FB-0009,Feature Request,Onboarding,Unclear setup process,Onboarding checklist,4,Negative,High Priority
FB-0010,Product Enhancement,Onboarding,Unclear setup process,Onboarding checklist,5,Negative,High Priority
FB-0011,Product Enhancement,Integrations,Scheduling friction,Calendar integration,3,Positive,Low Priority
FB-0012,Feature Request,Integrations,Scheduling friction,Calendar integration,4,Negative,Low Priority
FB-0013,Feature Request,Reporting & Analytics,Limited reporting flexibility,Advanced reporting filters,5,Neutral,Medium Priority
FB-0014,Product Enhancement,Search & Navigation,Difficulty finding records,Advanced search,4,Neutral,High Priority
FB-0015,Feature Request,Onboarding,Unclear setup process,Onboarding checklist,3,Negative,Critical
FB-0016,Integration Request,Integrations,API integration,API integration,4,Positive,Medium Priority
FB-0017,Customer Experience Issue,Customer Support,Support response time,,5,Neutral,Medium Priority
FB-0018,Bug,Mobile App,App crash,,5,Negative,Medium Priority
FB-0019,Usability Issue,Onboarding,Confusing setup,,4,Positive,High Priority
FB-0020,Product Enhancement,Onboarding,Unclear setup process,Onboarding checklist,3,Neutral,High Priority
FB-0021,Feature Request,Reporting & Analytics,Limited reporting flexibility,Advanced reporting filters,5,Neutral,Medium Priority
FB-0022,Performance Issue,Reporting & Analytics,Slow reporting,,5,Negative,Medium Priority
FB-0023,Product Enhancement,Onboarding,Unclear setup process,Onboarding checklist,4,Positive,Medium Priority
FB-0024,Feature Request,Automation,Repetitive manual work,Workflow automation,5,Positive,Medium Priority
FB-0025,Product Enhancement,Notifications,Notification noise,Custom notification rules,5,Positive,Medium Priority
FB-0026,Product Enhancement,Reporting & Analytics,Slow page performance,Faster dashboard loading,5,Neutral,High Priority
FB-0027,Positive Feedback,Automation,Automation value,,2,Positive,Low Priority
FB-0028,Feature Request,Automation,Repetitive manual work,Workflow automation,5,Negative,High Priority
FB-0029,Feature Request,Reporting & Analytics,Export limitations,CSV export improvements,2,Negative,Low Priority
FB-0030,Feature Request,Search & Navigation,Difficulty finding records,Advanced search,3,Negative,Medium Priority
FB-0031,Feature Request,Integrations,Missing workflow integration,Slack integration,5,Neutral,High Priority
FB-0032,Integration Request,Integrations,API integration,API integration,5,Negative,High Priority
FB-0033,Product Enhancement,Mobile App,Connectivity limitation,Offline mobile access,3,Negative,Low Priority
FB-0034,Product Enhancement,Search & Navigation,Difficulty finding records,Advanced search,4,Negative,Medium Priority
FB-0035,Integration Request,Integrations,API integration,API integration,3,Negative,High Priority
FB-0036,Feature Request,Integrations,Scheduling friction,Calendar integration,3,Negative,Low Priority
FB-0037,Bug,Billing,Invoice issue,,5,Negative,Medium Priority
FB-0038,Feature Request,Integrations,Missing workflow integration,Slack integration,5,Negative,High Priority
FB-0039,Performance Issue,Reporting & Analytics,Slow reporting,,4,Negative,Medium Priority
FB-0040,Product Enhancement,Collaboration,Team workflows,Team workflows,2,Positive,Low Priority
FB-0041,Positive Feedback,Automation,Automation value,,1,Positive,Low Priority
FB-0042,Feature Request,Integrations,Missing workflow integration,Slack integration,4,Positive,Medium Priority
FB-0043,Product Enhancement,Notifications,Notification noise,Custom notification rules,5,Positive,Medium Priority
FB-0044,Feature Request,Billing,Pricing confusion,Transparent pricing,3,Positive,Critical
